# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="be"][word="something"][word="that"][word="you"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.arrse.co.uk/military-history-militaria/164090-spams-questions-role-victorian-era-british-cavalry-print.html?pp=40	And they only got sharpened for battle because	an edge is something that you	do n't want when you 're chucking your sword round you and / or your horses ears doing drill .
http://www.therevival.co.uk/blogs/bilan/who-are-people-taqwa	One of the essential roles that the Quran plays in the lives of the believers is that it serves as a reminder and by definition	a reminder is something that you	already know and Allah(swt) reminds us in the Quran of things we know but may not always act upon .
http://news.firedoglake.com/2013/10/21/democrats-opening-the-door-on-cuts-to-social-security		An entitlement is something that you	have a right to , and no one can take it away .
http://www.pressgazette.co.uk/node/47932	If you want to be a writer you have to have an outlet to do that , and	a blog is something that you	can set up in two minutes now .
http://www.bbc.co.uk/blogs/thereporters/stephanieflanders/2011/05/inflation_up_growth_down_uncer.html	On the basis that	a target is something that you	actively set out to hit why do the BOE and MPC continue with the pretence that they have one for inflation ?
http://www.canadianactor.com/actors/italy.html		A ceremony is something that you	do repeatedly , almost like a code that your brain runs on .
http://www.fashion.arts.ac.uk/alumni/profiles/njide-ugboma-journalism-ma	Obviously , working to	a deadline is something that you	take with you into your professional career and it was made very apparent how crucial this is in journalism - no editor will ever wait for you or work with you again if you do n't file copy on time !
http://zonalandeducation.com/mstm/physics/mechanics/vectors/introduction/introductionVectors.html		A quantity is something that you	measure .
http://www.purifymind.com/FiveAggregate.htm	They say that the dharma is like a mirror , in that	a mirror is something that you	use to see if you have any dirt on your face , so that you can then wash it off , and similarly the dharma is something that you can use to see if you have any faults , any mistaken conduct and so forth .
http://homeguides.sfgate.com/make-pond-compost-47853.html	Measuring tile across	an outlet is something that you	would ...
http://99u.com/articles/6907/maps-the-four-pillars-of-creative-job-fulfillment	The first step is to shift your perspective : To understand that	a career is something that you	create , rather than a pre-existing role that you step into .
http://www.wsc.co.uk/wsc-daily/1020-October-2011/7860-preparing-for-yet-another-white-elephant-mega-event	And	a gift being something that you	receive for free , one must assume that the estimated costs for the stadium of over £ 500 million did not come from the people 's pocket .
http://www.mensandladieswatches.co.uk	Choosing a watch , either for your own use or for	a gift is something that you	put a lot of thought into - comparing styles , selecting features , choosing colours .
http://www.ekbbusiness.co.uk/site/designer_profile_print.php?id=8		A project is something that you	have to live with for so long , so it has to be right .
http://goodrelaxation.com/2012/11/herbal-remedies-for-migraines	"	A headache is something that you	get that bothers you , causes you temporary pain , and motivates you to seek immediate relief .
http://whoosh.org/epguide/spooks/303.html	' These days , most people 's idea of	a secret is something that you	only tell one person at a time .
http://www.articledepot.co.uk/article-30386.htm	But now , many store aisles are becoming virtual , a shopping cart is something you fill with images of a product and	a checkout is something that you	click on to confirm your order .
http://students.brown.edu/College_Hill_Independent/?p=7623	But we also had this strong feeling that it was n't our obligation as n + 1 or as a magazine because speaking well of Obama , and endorsing him as	a candidate was something that you	could find everywhere else in the world .
http://www.publications.parliament.uk/pa/cm201011/cmselect/cmenergy/uc742-vii/uc74201.htm	It is precisely that uncertainty that led us intellectually towards thinking that Contracts for Difference were the right approach because	a contract is something that you	can rely on and take to a court of law .
http://www.ciao.co.uk/groovychocolate_com__Review_5296901	Something so personalised and with need of careful attention when posted to	an address is something that you	would n't expect to come too cheaply .
http://www.showbizspy.com/article/274119/jennifer-aniston-spends-60k-on-drive-in-closet.html		A vasectomy is something that you	need to plan out ahead of time and discuss with your partner .
http://www.raes-fsg.org.uk/cgi-bin/yabb3u/YaBB.pl?action=print;num=1334024459		A watch is something that you	wear every day fake glashutte watch unlike a piece of clothing or even jewelry .
http://www.publications.parliament.uk/pa/cm201012/cmselect/cmtran/uc872-iv/uc87201.htm	How we teach people to drive better rather than teaching them to pass	a test is something that you	will hear me go on and on about all the time because that is one of the biggest challenges we have .
http://www.zengardner.com/resisting-mind-control-with-conscious-awareness		An illusion is something that you	see but is not there .
