# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="look" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.k9obedience.co.uk/dogtrainingforum/viewtopic.php?f=3%26t=1416%26p=15409%26sid=c949aeafff03622b1322cac377179f69	Nice pic Steve and now I know what	a crate looks like	.
http://www.quotesby.co.uk/topics/force_quotes-q2517	Leon : [ still trying to make out what	a cloud looks like	] Bushel Basket .
http://www.caopenspace.org/abcove.html	If you do n't know what	a rattlesnake looks like	a photo can be found on our Safety Page .
http://whatever.scalzi.com/2011/11/27/lord-of-the-tweets	it was so horrible , I remember thinking ' they can show an army of * trees * fight an army of * orcs * look believable , but walking ten steps to get on	a boat looks like	crap ?
http://whoosh.org/epguide/alias/blood.html	This is what	an episode looks like	when everything is done exactly right .
http://www.audio-talk.co.uk/phpBB2/viewtopic.php?p=93038%26sid=b86366cae37bb210bd75af6ce7d9ac62	Tie then to a couch , drug them so they ca n't move attach electrodes , turn a handle on	a box looking like	it was made in the twenties , and change a normal person into a zombie with no memory .
http://theartofsimple.net/overcommit	wow , being	a parent looks like	a full time job !
http://www.shyamspace.com/satsang/v5-06-10/v05n9.htm	Everything about	a monkey looks like	a human being , except that he surpasses because he has a tail .
http://www.anvilfire.com/FAQs/archives/g061999a.htm	Once you know what	a forge looks like	you can build them out of mud , metal or brick .
http://justadventure.com/index.php/component/content/article/17-articles/828-a-new-beginning22	* * * * * * Check that the mirror has tilted and instead of	a square looks like	a diamond .
http://jmuwomensstudentcaucus.wordpress.com/2013/11/21/female-brain-technology-deterrent-really	It was incredibly difficult , not only because we had to memorize what the inside of	a cell looks like	, as well as all of the processes that go on inside a cell , and the way that the cell has evolved over thousands of years ( you get the picture ) .
http://www.afka.net/articles/1986_Mother_People.htm	So some people have a hard time following it if they 're not used to seeing what	a screenplay looks like	.
http://freespace.virgin.net/guy.etchells/part10.htm	going for a short walk up the road and back to see what	a TOWN looks like	again !
http://www.jabootu.com/tomcats.htm	Everybody knows what	a walnut looks like	.
http://grammar.ccc.commnet.edu/grammar/nouns.htm	There are two kinds of tests : formal and functional - what	a word looks like	( the endings it takes ) and how a word behaves in a sentence .
http://www.chemguide.co.uk///physical/catalysis/hydrolyse.html	Neitherdonkey nor horse accurately represents what	a mule looks like	, but with a bit of imagination you could build up a fairly good picture of a mule by combining together the characteristics of both donkey and horse .
http://www.fast-rewind.com/trivia_et.htm	) Elliott showing E.T. what	a bathtub looks like	and how it works while E.T. is preoccupied , fiddling with the toiletries near the bathroom sink 4 .
http://www.vwt4forum.co.uk/archive/index.php/t-135.html	i had a quick look into wrapping ( and it was quick ) but a full wrap on	a van looked like	it might weigh in around 1.5 -2 k .
http://www.innocent.org.uk/cases/rdudley/index.html	( This turned out to be a nickname the two men had been given because they had once come into	a pub looking like	two characters from a Legal & General television commercial .
http://buzzmachine.com/tag/newarchitecture/page/9	But one wonders what	a world looks like	with a shrunken AP or , God forbid , without one .
http://www.surreycc.gov.uk/roads-and-transport/buses-and-trains/bus-and-train-fares-and-passes/free-bus-passes-for-60-plus-and-disabled-people/faqs-about-the-concessionary-fares-bus-pass	What does	a pass look like	?
http://www.pantaneto.co.uk/issue8/Carr.htm	But what would such	a conception look like	, and would it preclude a skill account of teaching ?
http://plato.stanford.edu/entries/proof-theoretic-semantics	, Bm , in which case	a definition looks like	a definite logic program .
http://www2.tate.org.uk/archivejourneys/historyhtml/bld_stiv_tatestives.htm	Tate in St Ives Proposals for a permanent gallery dedicated to showing the work of artists living in and around St Ives had been discussed since the 1960 s but it was not until the 1980 s that such	a dream looked like	becoming a reality .
http://seedmagazine.com/stateofscience/sos_fundamental_publicperception_p2.html	The Draw-a-Scientist Test is a common assessment of public perceptions of science that asks participants to draw what they think	a scientist looks like	.
http://editorial.autos.msn.com/listarticle.aspx?cp-documentid=1184614	But do enough shopping for a cheap car - a really cheap car - and you will discover the inverse relationship between what	a car looks like	and how safe it is to drive , between impossible stamina and the realities of modern technology .
